ID;x;y;city;country;addr_type;loc_name;match_addr;types;score
1;17.472956153461165;49.0670408160371;;;;;Sportovní 1214, 68601 Uherské Hradiště;AdresniMisto;100
1;17.485511126905315;49.04342976813749;;;;;Ke Koupališti 1726, 68604 Kunovice;AdresniMisto;100
2;17.434767013079785;49.07864652276239;;;;;Salašská 1919, 68603 Staré Město;AdresniMisto;100
5;17.526383612942812;48.98731931308694;;;;;nám. Komenského 162, 68725 Hluk;AdresniMisto;100
6;17.473684432099475;49.074130137478704;;;;;U Moravy 827, Mařatice, 68601 Uherské Hradiště;AdresniMisto;100
7;17.440155439026032;49.01170597281079;;;;;Nádražní 1010, 68722 Ostrožská Nová Ves;AdresniMisto;100
8;17.468091152329617;49.06229641657906;;;;;28. října 1521, 68601 Uherské Hradiště;AdresniMisto;100
9;17.45840604600972;49.071552356916236;;;;;Otakarova 1253, 68601 Uherské Hradiště;AdresniMisto;100
10;17.459642507699147;49.07087574598104;;;;;Mariánské náměstí 123, 68601 Uherské Hradiště;AdresniMisto;100
11;17.46277981579439;49.07005556638609;;;;;Velehradská třída 1206, 68601 Uherské Hradiště;AdresniMisto;100
12;17.44473274915756;49.017699534223986;;;;;Kunovská 664, 68722 Ostrožská Nová Ves;AdresniMisto;100
13;17.457189829786813;49.0348197454614;;;;;Letecká 1383, 68604 Kunovice;AdresniMisto;100
14;17.426159552230207;49.07369703990934;;;;;Brněnská 1372, 68603 Staré Město;AdresniMisto;100
16;17.45778484075843;49.071831878456415;;;;;Otakarova 103, 68601 Uherské Hradiště;AdresniMisto;100
17;17.46784306520561;49.06730855373443;;;;;Smetanovy sady 179, 68601 Uherské Hradiště;AdresniMisto;100
18;17.464544635704417;49.071350427107866;;;;;Velehradská třída 537, 68601 Uherské Hradiště;AdresniMisto;100
19;17.459402622919338;49.0675547628657;;;;;Masarykovo náměstí 21, 68601 Uherské Hradiště;AdresniMisto;100
20;17.459402622919338;49.0675547628657;;;;;Masarykovo náměstí 21, 68601 Uherské Hradiště;AdresniMisto;100
22;17.48920110722468;49.071902459450776;;;;;Mařatice 1797, 68605 Uherské Hradiště;AdresniMisto;100
23;17.46029977950704;49.06886437577543;;;;;Masarykovo náměstí 36, 68601 Uherské Hradiště;AdresniMisto;100
24;17.39460600825337;49.102730998661144;;;;;Nádvoří 1, 68706 Velehrad;AdresniMisto;100
25;17.46191010755679;49.07019545054003;;;;;Velehradská třída 714, 68601 Uherské Hradiště;AdresniMisto;100
27;17.49049382915992;49.082648051462414;;;;;Pivovarská 303, Jarošov, 68601 Uherské Hradiště;AdresniMisto;100
29;17.46347599403307;49.04544931002136;;;;;V Pastouškách 205, 68604 Kunovice;AdresniMisto;100
30;17.3364319415198;49.08495544447203;;;;;náměstí Svobody 24, 68708 Buchlovice;AdresniMisto;100
31;17.526925513338576;48.98868991877282;;;;;nám. Komenského 158, 68725 Hluk;AdresniMisto;100
32;17.466631152755134;49.04258579319673;;;;;Na Rynku 886, 68604 Kunovice;AdresniMisto;100
33;17.44453917851757;49.07834876048502;;;;;náměstí Velké Moravy 2190, 68603 Staré Město;AdresniMisto;100
34;17.459402622919338;49.0675547628657;;;;;Masarykovo náměstí 21, 68601 Uherské Hradiště;AdresniMisto;100
35;17.390239677145033;48.985924545455546;;;;;Zámecká 24, 68724 Uherský Ostroh;AdresniMisto;100
36;17.394101097110756;49.10461641467363;;;;;U Lípy 302, 68706 Velehrad;AdresniMisto;100
37;17.39340409660735;49.10561849694739;;;;;Salašská 328, 68706 Velehrad;AdresniMisto;100
39;17.335870318569977;49.08372618923523;;;;;náměstí Svobody 13, 68708 Buchlovice;AdresniMisto;100
41;17.335870318569977;49.08372618923523;;;;;náměstí Svobody 13, 68708 Buchlovice;AdresniMisto;100
42;17.43545249900012;49.08432583929983;;;;;Velehradská 1748, 68603 Staré Město;AdresniMisto;100
